ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
22,"8751 Collin McKinney Pkwy #903
McKinney, TX 75070",Blueprint 3,910,"350,135",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
23,"2137 Chelsea Rd #C17
Allen, TX 75013",Primary,"2,233","376,145",2018,Commercial Condominium (not offices),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
23,"2137 Chelsea Rd #C17
Allen, TX 75013",Blueprint 1,"4,162","21,010",2004,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,3 Years 10 Months,Financed,Collin,
23,"2137 Chelsea Rd #C17
Allen, TX 75013",Blueprint 2,"2,233","376,145",2018,Commercial Condominium (not offices),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
23,"2137 Chelsea Rd #C17
Allen, TX 75013",Blueprint 3,"4,162","21,010",2004,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,3 Years 10 Months,Financed,Collin,
24,"910 18th St
Plano, TX 75074",Primary,"4,112","20,400",1944,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
24,"910 18th St
Plano, TX 75074",Blueprint 1,"1,568","18,034",1975,Residential (General) (Single),Off Market,No,Yes,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Hunt,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Primary,"1,225","519,026",2015,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 1,"2,532",N/A,2019,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,4 Years,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 2,"2,532",N/A,2019,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,4 Years,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 3,"1,225","519,026",2015,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 4,"1,225","519,026",2015,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 5,"4,900",11,2015,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 6,"4,900","519,026",2015,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
25,"3900 S Stonebridge Dr #401
McKinney, TX 75070",Blueprint 7,"1,868",N/A,1969,Medical Bldg,Off Market,No,No,No,Corporate,Non-Owner Occupied,Vacant,3 Years 10 Months,Cash,Dallas,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Primary,"1,174","350,135",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 1,"1,178","145,360",2019,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 2,"1,287","6,515",1992,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,10 Years 6 Months,Financed,Dallas,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 3,"4,122",N/A,2021,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 4,"3,877",N/A,2021,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 5,"3,877",N/A,2021,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
26,"8751 Collin McKinney Pkwy #603
McKinney, TX 75070",Blueprint 6,"1,174","350,135",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
